Epoch,Id,Simplified Expr,Proof,Length Reduced
1,1,1,"Any[(24, 1)]",6.0
1,2,112 <= (v0 + 112) - v0,"Any[(13, 1), (34, 1), (17, 1), (10, 1), (11, 1), (44, 1)]",12.0
1,3,1,"Any[(33, 1), (17, 1), (35, 1), (33, 1), (10, 1), (11, 1), (44, 1), (35, 1), (24, 1)]",18.0
1,4,1,"Any[(24, 1)]",38.0
1,5,v7 + v3 <= (v2 * 30 + ((v4 + v3 * 4) + v5)) + v7,"Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 7), (13, 6), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,6,"min(v2 * 30 + (v5 + (v4 + v3 * 4)), v3) + v7 <= (v2 * 30 + ((v3 * 4 + v4) + v5)) + v7","Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 10), (13, 9), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,7,1,"Any[(24, 1)]",38.0
1,8,v7 + v3 <= (v2 * 60 + ((v4 + v3 * 8) + v5)) + v7,"Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 7), (13, 6), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,9,"min(v2 * 60 + (v5 + (v4 + v3 * 8)), v3) + v7 <= (v2 * 60 + ((v3 * 8 + v4) + v5)) + v7","Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 10), (13, 9), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,10,1,"Any[(24, 1)]",42.0
1,11,v8 + v7 <= (v2 * 60 + ((v3 * 8 + (v5 + v4)) + v3)) + v8,"Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 8), (13, 7), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,12,"min(v2 * 60 + (((v5 + v4) + v3 * 8) + v3), v7) + v8 <= (v2 * 60 + ((v3 * 8 + (v4 + v5)) + v3)) + v8","Any[(34, 1), (15, 2), (15, 1), (34, 1), (13, 12), (13, 11), (31, 1), (31, 1), (13, 1), (26, 1)]",12.0
1,13,v0 + v1 <= ((v0 + v1) + 120) - 119 && ((((v0 + v1) - v2) + 127) + v2) - ((134 + ((v0 + v1) - v2)) + v2) <= 1,"Any[(35, 1), (34, 2), (34, 1), (34, 1), (31, 2), (33, 1), (31, 1), (17, 2), (17, 1), (13, 8)]",8.0
1,14,v0 + v1 <= ((v0 + v1) + 120) - 119 && ((v0 + v1) + 127) - ((v0 + v1) + 119) <= 1,"Any[(35, 1), (34, 2), (34, 1), (34, 1), (31, 2), (33, 1), (31, 1), (17, 1), (10, 2), (11, 1)]",8.0
1,15,"v0 + (v1 + 119) <= (v0 + v1) + 120 && ((((v0 + v1) - v2) + 127) + v2) - min((((v1 + v0) - v2) + 134) + v2, (v0 + v1) + 119) <= 1","Any[(8, 1), (35, 1), (34, 2), (34, 1), (17, 2), (31, 2), (33, 1), (31, 1), (17, 1), (13, 10)]",8.0
1,16,v0 <= ((v0 + v1) + 120) - (v1 + 119) && (v0 + v1) + 120 <= ((v0 + v1) + 134) + 1,"Any[(8, 1), (35, 1), (34, 2), (34, 2), (34, 1), (17, 1), (31, 2), (31, 2), (10, 4), (11, 1)]",8.0
1,17,v0 <= (((v0 + v1) + 120) - 119) - v1 && 120 <= 119 + 1,"Any[(35, 1), (34, 2), (34, 2), (34, 1), (34, 1), (31, 2), (31, 2), (13, 3), (8, 2), (26, 1)]",8.0
1,18,"v0 <= ((v0 + v1) + 120) - (v1 + 119) && (v0 + v1) + 120 <= min((v0 + v1) + 134, (v0 + v1) + 119) + 1","Any[(8, 1), (35, 1), (34, 2), (34, 2), (34, 1), (17, 1), (31, 2), (31, 2), (10, 3), (11, 1)]",8.0
1,19,"v0 <= (((v0 + v1) + 120) - 119) - v1 && min((v0 + v1) + 127, (v0 + v1) + 120) - 1 <= (((v0 + v1) - v2) + 134) + v2","Any[(35, 1), (34, 1), (34, 1), (33, 1), (17, 2), (35, 1), (33, 1), (17, 1), (10, 2), (11, 1)]",12.0
1,20,"v0 <= (((v0 + v1) + 120) - 119) - v1 && min((v0 + v1) + 127, (v0 + v1) + 120) - 1 <= (v1 + v0) + 119","Any[(35, 1), (34, 1), (34, 1), (33, 1), (17, 1), (35, 1), (33, 1), (13, 9), (10, 2), (11, 1)]",8.0
