Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10
((144 - 72v0) / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,((144 - 72v0) / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,(144 - 72v0) + 4 <= 4 * ((150 - 72v0) / 4),!((150 - 72v0) / 1.0 < (144 - 72v0) + 4),4 + (144 - 72v0) <= (150 - 72v0) / 1.0,((144 - 72v0) + 4.0) / 1.0 <= 150 - 72v0,4 + (144 - 72v0) <= (150 - 72v0) / 1.0,4 + (144 - 72v0) <= 150 - 72v0,(4.0 + (144 - 72v0)) / 1.0 <= 150 - 72v0,2 * ((144 - v0 * 72) / 2) + 4 <= ((150 - v0 * 72) / 4) * 4
((144 - v0 * 72) / 2) * 2 + 4 <= (79 / 4) * 4,!(79 < 2 * ((144 - v0 * 72) / 2) + 4),4 + (144 - 72v0) <= 79.0,4 + (144 - 72v0) <= 79.0,4 + (144 - 72v0) <= 79.0,4 + (144 - 72v0) <= 79.0,4 + (144 - 72v0) <= 79.0,4 + (144 - 72v0) <= 79.0,((144 - v0 * 72) + 4.0) / 1.0 <= 79.0,((144 - v0 * 72) / 2) * 2 + 4 <= (79 / 4) * 4
"(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","!(((150 - max(72v0, 71)) / 4) * 4 < (144 + -72v0) / 1.0 + 4)","!(150 - max(72v0, 71) < 4 + (144 - 72v0))","4 + (144 - 72v0) <= (150 - max(72v0, 71)) / 1.0","4 + (144 - 72v0) / 1.0 <= 150 - max(72v0, 71)","4 + (144 - 72v0) <= (150 - max(72v0, 71)) / 1.0","!(150 - max(72v0, 71) < 4 + (144 - 72v0))","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4"
(73 / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,(73 / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,!(150 - 72v0 < 77.0),77.0 <= 150 - 72v0,77.0 <= (150 - v0 * 72) / 1.0,77.0 <= 150 - 72v0,4 + 73.0 <= (150 - 72v0) / 1.0,77.0 <= 150 - 72v0,146 / 2 + 4 <= 150 - 72v0,(73 / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4
"((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","4 + 2 * ((144 - max(72v0, 71)) / 2) <= 4 * ((150 - 72v0) / 4)","!(150 - 72v0 < (144 - max(72v0, 71)) / 1.0 + 4)","4 + (144 - max(72v0, 71)) <= (150 - 72v0) / 1.0","4 + (144 - max(72v0, 71)) / 1.0 <= 150 - 72v0","4 + (144 - max(72v0, 71)) <= (150 - 72v0) / 1.0","4 + (144 - max(72v0, 71)) <= 150 - v0 * 72","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)"
(v1 + (((234 - 33v0) / 2) * 2 + (33v0 + 32))) - 992 <= 33v0 + v1,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33,(((((234 - 33v0) + v0 * 33) + 32) + v1) - 992) - v1 <= 33v0,(((((234 - 33v0) + v0 * 33) + 32) + v1) - 992) - v1 <= 33v0,!(33v0 + v1 < ((32 + ((234 - v0 * 33) / 0.030303030303030304 + v0) * 33) + v1) - 992),((((234 - v0 * 33) / 1.0 + (32 + v0 * 33)) + v1) - 992) - v1 <= 33v0,((32 + ((234 - v0 * 33) + 33v0)) + v1) - 992 <= 33v0 + v1,!(33v0 + v1 < ((32 + ((234 - 33v0) + 33v0)) + v1) - 992),(((((234 - v0 * 33) + 33v0) + 32) + v1) - 992) - v1 <= 33v0,((v1 + (v0 * 33 + 32)) + (234 - v0 * 33)) / 1.0 - 992 <= 33v0 + v1
(((234 - v0 * 33) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(v1 + ((234 - 33v0) + 262)) - 992 <= 33v0 + v1,((((234 - 33v0) + 262) + v1) - 992) - v1 <= 33v0,((((234 - 33v0) + 262) + v1) - 992) - v1 <= 33v0,!(v1 + 33v0 < ((32 + (230 + (234 - v0 * 33))) + v1) - 992),(((234 - v0 * 33) + (262 + v1)) - 992) - v1 <= 33v0,((v1 + 2 * ((234 - 33v0) / 2)) + 262) - 992 <= v1 + 33v0,((((234 - 33v0) + 262) + v1) - 992) - v1 <= 33v0,!(33v0 < ((((234 - v0 * 33) / 1.0 + 262) + v1) - 992) - v1),((262 + v1) + (234 - v0 * 33)) / 1.0 - 992 <= 33v0 + v1
"(((min(33v0, 230) + 32) + ((234 - v0 * 33) / 2) * 2) + v1) - 992 <= 33v0 + v1","(((min(33v0, 230) + ((234 - v0 * 33) / 2) * 2) + 32) + v1) - 992 <= v0 * 33 + v1","(((((234 - 33v0) + min(v0 * 33, 230)) + 32) + v1) - 992) - v1 <= 33v0","(((((234 - 33v0) + min(v0 * 33, 230)) + 32) + v1) - 992) - v1 <= 33v0","((((234 - v0 * 33) + (32 + min(v0 * 33, 230))) + v1) - 992) - v1 <= v0 * 33","(((((234 - v0 * 33) + min(33v0, 230)) + 32) + v1) - 992) - v1 <= 33v0","((32 + ((234 - v0 * 33) + min(230, v0 * 33))) + v1) - 992 <= 33v0 + v1","!(33v0 + v1 < (((234 - 33v0) + (32 + min(230, 33v0))) + v1) - 992)","!(33v0 < ((v1 + (((234 - v0 * 33) + min(230, v0 * 33)) + 32)) - 992) - v1)","(((min(v0 * 33, 230) + 32) + v1) + (234 - 33v0)) / 1.0 - 992 <= 33v0 + v1"
!(33v0 + v1 < (v1 + (4.0 + (32 + v0 * 33))) - 992),!(v0 * 33 + v1 < (((v0 + 33) * v0 + 32) + v1) - 992),(((32 + (4.0 + v0 * 33)) + v1) - 992) - v1 <= 33v0,(((32 + (4.0 + v0 * 33)) + v1) - 992) - v1 <= 33v0,!(33v0 + v1 < ((32 + (0.12121212121212122 + v0) * 33) + v1) - 992),((36.0 + v0 * 33) + v1) - 992 <= 33v0 + v1,!(33v0 + v1 < ((32 + (4.0 + 33v0)) + v1) - 992),!(33v0 + v1 < ((36.0 + 33v0) + v1) - 992),(((32 + (4.0 + v0 * 33)) + v1) - 992) - v1 <= 33v0,(4 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + 33v0
!(33v0 + v1 < (v1 + (2.0 * 2 + 262)) - 992),(266.0 + v1) - 992 <= v0 * 33 + v1,(266.0 + v1) - 992 <= 33v0 + v1,(266.0 + v1) - 992 <= 33v0 + v1,!(33v0 + v1 < ((32 + 234.0) + v1) - 992),(266.0 + v1) - 992 <= v1 + v0 * 33,!(33v0 + v1 < (v1 + 266.0) - 992),(v1 + 266.0) - 992 <= v0 * 33 + v1,!(33v0 < ((((234 - 230) + 262.0) / 1.0 + v1) - 992) - v1),((262 + v1) + 4) - 992 <= v0 * 33 + v1
