Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10
!(((150 - v0 * 72) / 4) * 4 < 4 + (144 - 72v0) / 1.0),2 * ((144 - v0 * 72) / 2) + 4 <= ((150 - v0 * 72) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= ((150 + -1 * (v0 * 72)) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= ((150 + -1 * (v0 * 72)) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0,((144 - 72v0) / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,((144 - 72v0) / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= 150 - v0 * 72,2 * ((144 - v0 * 72) / 2) + 4 <= ((150 - v0 * 72) / 4) * 4,((144 - 72v0) / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4
((144 - v0 * 72) / 2) * 2 + 4 <= (79 / 4) * 4,!(19.75 * 4 < ((144 - v0 * 72) / 2) * 2 + 4),(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - 71) / 4) * 4,(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - 71) / 4) * 4,((144 - 72v0) / 2) * 2 + 4 <= ((150 - 71) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= (79 / 4) * 4,((144 - 72v0) / 2) * 2 + 4 <= ((150 - 71) / 4) * 4,((144 - v0 * 72) / 2) * 2 + 4 <= (79 / 4) * 4,!(79.0 < ((144 - v0 * 72) / 2) * 2 + 4),((144 - v0 * 72) / 2) * 2 + 4 <= 19.75 * 4
"((144 - v0 * 72) / 2) * 2 + 4 <= (150 - max(v0 * 72, 71)) - rem(150 - max(v0 * 72, 71), 4)","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","((144 + -1 * (v0 * 72)) / 2) * 2 + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","((144 + -1 * (v0 * 72)) / 2) * 2 + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","((144 - v0 * 72) / 2) * 2 + 4 <= (150 - max(v0 * 72, 71)) / 1.0","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","((144 - v0 * 72) / 2) * 2 + 4 <= (150 - max(v0 * 72, 71)) / 1.0","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4","(144 - v0 * 72) / (2 / 2) + 4 <= ((150 - max(v0 * 72, 71)) / 4) * 4"
!(((150 - v0 * 72) / 4) * 4 < 73.0 + 4),!(150 - v0 * 72 < 73.0 + 4),2 * ((144 - 71) / 2) + 4 <= ((150 - v0 * 72) / 4) * 4,2 * ((144 - 71) / 2) + 4 <= ((150 - v0 * 72) / 4) * 4,(73 / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0,36.5 * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,(73 / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,(73 / 2) * 2 + 4 <= ((150 - v0 * 72) / 4) * 4,!(150 - v0 * 72 < 73.0 + 4),73.0 + 4 <= 150 - v0 * 72
"((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= ((150 + -1 * (v0 * 72)) / 4) * 4","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / 1.0","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= (150 - v0 * 72) / (4 / 4)","((144 - max(v0 * 72, 71)) / 2) * 2 + 4 <= 150 - v0 * 72"
(((v0 * 33 + 32) + v1) + ((234 - v0 * 33) / 2) * 2) - 992 <= v0 * 33 + v1,(((v0 * 33 + 32) + v1) + ((234 - v0 * 33) / 2) * 2) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33,(((v0 * 33 + 32) + v1) + ((234 - v0 * 33) / 2) * 2) - 992 <= v0 * 33 + v1,(((v0 * 33 + 32) + v1) + ((234 - v0 * 33) / 2) * 2) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33,(((v0 * 33 + 32) + v1) + ((234 - v0 * 33) / 2) * 2) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33,(((234 - v0 * 33) / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v1 + v0 * 33
!(33v0 + v1 < (((234 - v0 * 33) + 262) + v1) - 992),(2 * ((234 - v0 * 33) / 2) + ((230 + 32) + v1)) - 992 <= v0 * 33 + v1,(2 * ((234 - v0 * 33) / 2) + ((230 + 32) + v1)) - 992 <= v0 * 33 + v1,(2 * ((234 - v0 * 33) / 2) + ((230 + 32) + v1)) - 992 <= v0 * 33 + v1,(2 * ((234 - v0 * 33) / 2) + ((230 + 32) + v1)) - 992 <= v0 * 33 + v1,(2 * ((234 - v0 * 33) / 2) + ((230 + 32) + v1)) - 992 <= v0 * 33 + v1,((234 - 33v0) / 1.0 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - v0 * 33) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1
"!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)","!(v0 * 33 + v1 < (((234 - v0 * 33) / 2) * 2 + ((min(v0 * 33, 230) + 32) + v1)) - 992)"
(((v0 * 33 + 32) + v1) + ((234 - 230) / 2) * 2) - 992 <= v0 * 33 + v1,((4 / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v0 * 33 + v1,(((234 - 230) / 2) * 2 + ((32 + v0 * 33) + v1)) - 992 <= v0 * 33 + v1,((4 / 2) * 2 + ((v0 * 33 + 32) + v1)) - 992 <= v0 * 33 + v1,(((v0 * 33 + 32) + v1) + ((234 - 230) / 2) * 2) - 992 <= v0 * 33 + v1,(((v0 * 33 + 32) + v1) + ((234 - 230) / 2) * 2) - 992 <= v0 * 33 + v1,(4.0 + ((v0 * 33 + 32) + v1)) - 992 <= v0 * 33 + v1,!(v0 * 33 < ((4.0 + ((v0 * 33 + 32) + v1)) - 992) - v1),!(v0 * 33 + v1 < (4.0 + ((v0 * 33 + 32) + v1)) - 992),(4.0 + ((v0 * 33 + 32) + v1)) - 992 <= v0 * 33 + v1
(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((230 + 32) + v1) + ((234 - 230) / 2) * 2) - 992 <= v0 * 33 + v1,(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,!(v0 * 33 + v1 < (2.0 * 2 + (262 + v1)) - 992),!(v0 * 33 + v1 < ((2.0 * 2 + 262) + v1) - 992),(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(((234 - 230) / 2) * 2 + (262 + v1)) - 992 <= v0 * 33 + v1,(4.0 + (262 + v1)) - 992 <= v0 * 33 + v1
