Epoch,Id,Simplified Expr,Proof,Length Reduced
1,1,v0 + 112 <= v0 + 112,"Any[(13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1)]",0.0
1,2,"v0 + 112 <= min((((v0 - v1) + 127) / 16) * 16 + v1, v0 + 112)","Any[(13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1)]",0.0
1,3,"min((((v0 - v1) + 119) / 8) * 8 + v1, v0 + 112) <= v0 + 112","Any[(13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1)]",0.0
1,4,(((((v0 + v1) * 119 + v2 * 30) + v3 * 4) + v4) + v5) + v7 <= (((((v0 + v1) * 119 + v2 * 30) + v3 * 4) + v4) + v5) + v7,"Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1)]",0.0
1,5,(v0 + v1) * 119 + (v3 + v7) <= (((((v0 + v1) * 119 + v2 * 30) + v3 * 4) + v4) + v5) + v7,"Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1)]",0.0
1,6,"(v0 + v1) * 119 + (min(((v2 * 30 + v3 * 4) + v4) + v5, v3) + v7) <= (((((v0 + v1) * 119 + v2 * 30) + v3 * 4) + v4) + v5) + v7","Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1)]",0.0
1,7,(((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v7 <= (((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v7,"Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1)]",0.0
1,8,(v0 + v1) * 119 + (v3 + v7) <= (((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v7,"Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1)]",0.0
1,9,"(v0 + v1) * 119 + (min(((v2 * 60 + v3 * 8) + v4) + v5, v3) + v7) <= (((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v7","Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1)]",0.0
1,10,((((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v3) + v8 <= ((((((v0 + v1) * 119 + v2 * 60) + v3 * 8) + v4) + v5) + v3) + v8,"Any[(7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1), (8, 1), (7, 1)]",0.0
